Breed,Life Expectancy (years),Height,Weight,Group,Energy Level,Barking Tendencies,Training Needs,Good for Small Homes
Cane Corso*,8.1,23.5-27.5,TBD,Working,4,3,5,1
Cardigan Welsh Corgi,13.1,10.5-12.5,25-38,Herding,3,4,4,4
Caucasian Shepherd Dog,5.4,23-30,99-170,FSS,,,,
Cavalier King Charles Spaniel,11.8,12-13,13-18,Toy,3,3,3,5
Chesapeake Bay Retriever,11.6,21-26,55-80,Sporting,5,4,4,1
Chihuahua,11.8,5-8,6,Toy,3,5,4,5
Chinese Crested,13.4,11-13,8-12,Toy,3,3,3,5
Chinese Shar-Pei,10.6,18-20,45-60,Non-Sporting,4,2,4,3
Chow Chow,12.1,17-20,45-70,Non-Sporting,3,3,5,2
Clumber Spaniel,12.3,17-20,55-85,Sporting,3,3,3,2
Collie,13.3,22-26,50-75,Herding,4,5,3,3
Coton de Tulear,14.2,9-11,8-15,Non-Sporting,3,3,3,5
Crossbreed,12,,,,,,,
Curly-Coated Retriever,12.2,23-27,60-95,Sporting,,,,
Dachshund*,13.2,8-9,16-32,Hound,3,5,3,5
Dalmatian,13.2,19-24,45-70,Non-Sporting,5,3,4,2
Dandie Dinmont Terrier,12.8,8-11,18-24,Terrier,,,,
Doberman Pinscher,11.2,24-28,60-100,Working,4,3,4,2
Dogue de Bordeaux*,11.1,23-27,99-110,Working,2,2,5,1
English Cocker Spaniel,13.3,15-17,26-34,Sporting,3,3,3,4
English Setter,13.1,23-27,45-80,Sporting,5,4,4,2
English Springer Spaniel,13.5,19-20,40-50,Sporting,5,3,4,2
Field Spaniel,13.1,17-18,35-50,Sporting,,,,
Finnish Lapphund,13.8,16-21,33-53,Herding,,,,
Flat-Coated Retriever,11.7,22-24.5,60-70,Sporting,5,3,4,1
Foxhound,13,24,60-75,Hound,5,5,4,1
French Bulldog*,9.8,11-13,28,Non-Sporting,2,2,3,5
German Shepherd Dog,11.3,22-26,50-90,Herding,4,4,5,2
German Shorthaired Pointer,13.4,21-25,45-70,Sporting,5,3,4,1
German Spitz Mittel*,14,8-20,10-50,FSS,,,,
German Wirehaired Pointer,13,22-26,50-70,Sporting,5,3,3,1
Giant Schnauzer,12.1,23.5-27.5,55-85,Working,4,4,4,1
Glen of Imaal Terrier,12.1,12.5-14,32-40,Terrier,,,,
Golden Retriever,13.2,21.5-24,55-75,Sporting,4,3,3,2
Gordon Setter,12.4,23-27,45-80,Sporting,5,3,3,2
Great Dane,10.6,28-32,110-175,Working,3,2,3,3
Great Pyrenees*,10.9,25-32,85-100,Working,3,4,4,2
Greyhound,11.5,27-30,60-70,Hound,3,2,3,3
Havanese,14.5,8.5-11.5,7-13,Toy,3,3,3,5
Irish Setter,12.9,25-27,60-70,Sporting,5,3,3,2
Irish Terrier,13.5,18,25-27,Terrier,4,4,4,3
Irish Water Spaniel,10.8,21-24,45-68,Sporting,5,2,3,2
Irish Wolfhound,9.9,30-32,105-120,Hound,3,2,4,1
Italian Greyhound,14,13-15,7-14,Toy,3,3,3,4
Jack Russell Terrier*,13.3,"10-12, 13-14","9-15, 13-17",Terrier,5,5,4,2
Japanese Chin,12.5,8-11,7-11,Toy,3,2,3,5
Japanese Spitz,13,12-15,10-25,FSS,,,,
Keeshond,12.3,17-18,35-45,Non-Sporting,3,5,3,3
Kelpie,12,"19-25, 17-20","28-60, 35-50",FSS,,,,
Kerry Blue Terrier*,12.4,17.5-19.5,33-40,Terrier,4,3,4,3
Labrador Retriever,13.1,21.5-24.5,55-80,Sporting,5,3,3,5
Lakeland Terrier*,14.2,14.5-15,17,Terrier,3,3,3,4
Lancashire Heeler,15.4,10-12,9-17,Herding,,,,
Large Munsterlander,14.1,23-26.5,50-70,FSS,,,,
Leonberger,10,25.5-31.5,90-170,Working,4,3,4,1
Lhasa Apso*,14,10-11,12-18,Non-Sporting,3,4,3,5
Lowchen,13.9,12-14,15,Non-Sporting,,,,
Maltese*,13.1,7-9,7,Toy,3,5,3,5
Mastiff*,9,27.5-30,120-230,Working,2,2,4,2
Miniature Bull Terrier,12.2,10-14,18-28,Terrier,4,3,4,3
Miniature Dachshund*,14,5-6,11,Hound,3,5,3,5
Miniature Pinscher,13.7,10-12.5,8-10,Toy,4,5,3,5
Miniature Schnauzer,13.3,12-14,11-20,Terrier,3,5,3,4
Neapolitan Mastiff,9.3,24-31,110-150,Working,2,2,4,2
Newfoundland,11,26-28,100-150,Working,3,3,3,2
Norfolk Terrier,13.5,9-10,11-12,Terrier,4,4,3,4
Norwegian Elkhound,13,19.5-20.5,48-55,Hound,4,4,3,3
Norwich Terrier,14,10,12,Terrier,4,4,3,4
Nova Scotia Duck Tolling Retriever,13.2,17-21,35-50,Sporting,5,3,3,2
Old English Sheepdog*,12.1,60-100,21-22,Herding,4,4,3,1
Papillon,14.5,8-11,5-10,Toy,4,5,4,4
Parson Russell Terrier,13.8,13-14,13-17,Terrier,,,,
Pekingese*,13.3,6-9,14,Toy,2,3,3,5
Pembroke Welsh Corgi*,13.2,10-12,28-30,Herding,4,5,4,4
Petit Basset Griffon Vendeen,13.7,13-15,25-40,Hound,,,,
Pharaoh Hound,10,21-25,45-55,Hound,3,3,3,2
Polish Lowland Sheepdog,13.2,17-20,30-50,Herding,,,,
Pomeranian,12.2,6-7,3-7,Toy,3,4,3,5
Poodle*,14,15,40-70,Non-Sporting,4,3,4,4
Portuguese Water Dog,13,17-23,35-60,Working,4,3,3,3
Presa Canario,7.7,22-26,84-110,FSS,,,,
Pug,11.6,10-13,14-18,Toy,2,3,3,5
Puli,13.3,16-17,25-35,Herding,3,4,4,3
Rhodesian Ridgeback,12,24-27,70-85,Hound,3,2,4,2
Rottweiler,10.6,22-27,80-135,Working,4,3,5,2
Saint Bernard,9.3,26-30,120-180,Working,3,3,3,2
Saluki*,13.3,23-28,40-65,Hound,3,2,3,3
Samoyed,13.1,19-23.5,35-65,Working,4,3,3,3
Schipperke,14.2,10-13,10-16,Non-Sporting,4,5,4,3
Scottish Deerhound,10.5,28-32,75-110,Hound,,,,
Scottish Terrier,12.7,10,18-22,Terrier,,,,
Sealyham Terrier,13.1,10.5,23-24,Terrier,,,,
Shetland Sheepdog,13.4,13-16,15-25,Herding,4,5,3,3
Shiba Inu,14.6,13.5-16.5,17-23,Non-Sporting,3,3,4,5
Shih Tzu,12.8,9-10.5,9-16,Toy,3,4,3,5
Siberian Husky,11.9,20-23.5,35-60,Working,4,4,4,2
Silky Terrier,13.3,9-10,10,Toy,4,5,3,5
Skye Terrier*,12.4,9.5-10,35-45,Terrier,,,,
Soft Coated Wheaten Terrier,13.7,17-19,30-40,Terrier,,,,
Spanish Water Dog,13.7,15.75-19.75,31-49,Herding,4,3,4,2
Spinone Italiano,11.9,22-27,TBD,Sporting,,,,
Staffordshire Bull Terrier,12,14-16,24-38,Terrier,3,3,4,2
Standard Schnauzer,13,17.5-19.5,30-50,Working,4,5,4,3
Sussex Spaniel,13.5,13-15,35-45,Sporting,,,,
Swedish Vallhund,14,11.5-13.75,20-35,Herding,4,5,4,3
Tibetan Mastiff*,13.3,24-26,70-150,Working,3,4,4,2
Tibetan Spaniel,15.2,10,9-15,Non-Sporting,3,3,3,5
Tibetan Terrier*,13.8,14-17,18-30,Non-Sporting,3,3,3,5
Toy Fox Terrier,12.9,8.5-11.5,4-9,Toy,4,5,4,3
Toy Manchester Terrier*,13,10-12,12,Toy,4,4,3,5
Vizsla,13.5,21-24,44-60,Sporting,5,3,4,2
Weimaraner,12.8,23-27,55-90,Sporting,5,3,3,1
Welsh Springer Spaniel,14,17-19,35-55,Sporting,4,3,3,2
Welsh Terrier*,13.8,15,20,Terrier,4,4,3,4
West Highland White Terrier,13.4,10-11,15-20,Terrier,4,5,4,4
Whippet,13.4,18-22,25-40,Hound,4,2,3,5
Wire Fox Terrier,13.5,15.5,15-18,Terrier,4,5,4,3
Yorkshire Terrier,13.3,7-8,7,Toy,4,5,3,5

